UNITID,ROOM,XROOMCAP,ROOMCAP,ALLONCAM,TUITVARY,BOARD,XMEALSWK,MEALSWK,XAPPFEEU,APPLFEEU,APPFEEUW,XAPPFEEG,APPLFEEG,APPFEEGW,XAPPFEED,APPLFEED,APPFEEDW,PRMPGM,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,FAFSAQ1,FAFSAQ2,FAFQ2URL,PRGMOFR,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XHRCHF1,HRCHF1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XHRCHF2,HRCHF2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XHRCHF3,HRCHF3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XHRCHF5,HRCHF5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XHRCHF6,HRCHF6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XHRCHF7,HRCHF7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG10AY0,CHG10AY0,XCHG10AY1,CHG10AY1,XCHG10AY2,CHG10AY2,XCHG10AY3,CHG10AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG10PY0,CHG10PY0,XCHG10PY1,CHG10PY1,XCHG10PY2,CHG10PY2,XCHG10PY3,CHG10PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6
110714,1,R,9423,2,1,2,A,,R,80,1,R,135,1,A,,-2,2,2,0,0,0,0,2,2,,-2,A,,A,,R,19948,R,12260,R,2775,A,,R,2775,R,12260,R,2775,A,,R,2775,R,44148,R,2775,A,,R,2775,R,12762,R,2648,A,,R,2648,R,12762,R,2648,A,,R,2648,R,27864,R,2648,A,,R,2648,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,11442,R,2628,R,14070,R,11928,R,2712,R,14640,R,12522,R,2790,R,15312,R,13146,R,2859,R,16005,,,R,11442,R,2628,R,14070,R,11928,R,2712,R,14640,R,12522,R,2790,R,15312,R,13146,R,2859,R,16005,,,R,41196,R,2628,R,43824,R,42954,R,2712,R,45666,R,45096,R,2790,R,47886,R,47346,R,2859,R,50205,,,R,1180,R,1204,R,1315,R,1192,R,17429,R,18185,R,18949,R,19948,R,5179,R,5083,R,5646,R,6902,R,15135,R,15653,R,17138,R,19560,R,5722,R,5643,R,6264,R,7838,A,,A,,A,,R,8020,R,13899,R,13829,R,15181,R,8657,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
110778,2,A,,-2,2,3,A,,R,75,0,R,75,0,R,75,0,2,1,0,0,1,0,2,2,,-2,A,,A,,A,,R,18000,R,700,R,400,R,700,R,18000,R,700,R,400,R,700,R,18000,R,700,R,400,R,700,R,13620,R,575,R,598,R,1005,R,13620,R,575,R,598,R,1005,R,13620,R,575,R,598,R,1005,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
110875,2,A,,2,-2,3,A,,R,50,0,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,3,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12.0409,A,,A,,R,600,1,R,5,R,20,R,900,R,30,R,6400,R,6700,R,6700,R,8550,R,1994,R,2700,R,2700,R,2950,A,,A,,A,,A,,A,,A,,A,,A,,R,5825,R,6985,R,10000,R,8595,R,1710,R,1990,R,2015,R,4760,A,,A,,A,,R,5760,R,1970,R,2140,R,2215,R,4760,12.0401,R,14150,R,3450,R,1000,1,R,13,12.041,R,8550,R,2700,R,600,1,R,5,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111045,2,A,,2,2,3,A,,R,100,1,R,100,1,A,,-2,2,1,0,0,1,0,2,2,,-2,A,,A,,A,,R,6500,R,510,R,263,R,620,R,6500,R,510,R,263,R,620,R,6500,R,510,R,263,R,620,R,6804,R,510,R,378,R,620,R,6804,R,510,R,378,R,620,R,6804,R,510,R,378,R,620,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6500,R,360,R,6860,R,6500,R,510,R,7010,R,6500,R,510,R,7010,R,6500,R,510,R,7010,,,R,6500,R,360,R,6860,R,6500,R,510,R,7010,R,6500,R,510,R,7010,R,6500,R,510,R,7010,,,R,6500,R,360,R,6860,R,6500,R,510,R,7010,R,6500,R,510,R,7010,R,6500,R,510,R,7010,,,R,900,R,900,R,900,R,900,A,,A,,A,,A,,A,,A,,A,,A,,R,12000,R,12000,R,12000,R,12000,R,600,R,600,R,600,R,600,A,,A,,A,,R,3000,R,800,R,800,R,800,R,800,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111054,2,A,,2,-2,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,5,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12.0401,A,,A,,R,1000,1,R,8,R,33,R,900,R,30,R,20275,R,14250,R,15250,R,16250,R,1600,R,1600,R,1600,R,1600,A,,A,,A,,A,,A,,A,,A,,A,,R,16500,R,37810,R,24181,R,23867,R,9900,R,15700,R,13448,R,11715,A,,A,,A,,R,12268,R,5668,R,8935,R,8267,R,11278,12.0402,R,16250,R,1600,R,1000,1,R,8,12.0409,R,9500,R,1300,R,600,1,R,5,12.041,R,4500,R,675,R,400,1,R,3,12.0413,R,5920,A,,R,600,1,R,5,-2,A,,A,,A,,-2,A,
111081,1,R,389,2,2,1,R,17,R,65,1,R,65,1,A,,-2,2,1,0,0,1,0,2,2,,-2,R,7692,R,6442,A,,R,58318,R,678,R,1877,R,678,R,58318,R,678,R,1877,R,678,R,58318,R,678,R,1877,R,678,R,58318,R,678,R,1943,R,678,R,58318,R,678,R,1943,R,678,R,58318,R,678,R,1943,R,678,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,52850,R,616,R,53466,R,54440,R,616,R,55056,R,56074,R,650,R,56724,R,58318,R,678,R,58996,,,R,52850,R,616,R,53466,R,54440,R,616,R,55056,R,56074,R,650,R,56724,R,58318,R,678,R,58996,,,R,52850,R,616,R,53466,R,54440,R,616,R,55056,R,56074,R,650,R,56724,R,58318,R,678,R,58996,,,R,2500,R,2500,R,938,R,1062,R,12135,R,12446,R,12820,R,14134,R,7826,R,8708,R,6826,R,7154,R,16000,R,17600,R,18600,R,20500,R,7826,R,8708,R,9045,R,9305,A,,A,,A,,R,9000,R,7826,R,7556,R,8064,R,8558,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111188,1,R,804,2,1,1,R,19,R,70,1,R,70,0,A,,-2,2,2,0,0,0,0,2,2,,-2,R,7256,R,7280,A,,R,6084,R,3475,A,,R,3475,R,6084,R,3475,A,,R,3475,R,18684,R,3475,R,420,R,3475,A,,A,,A,,Z,0,A,,A,,A,,Z,0,A,,A,,R,420,Z,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5742,R,1374,R,7116,R,5742,R,1374,R,7116,R,5742,R,1930,R,7672,R,6084,R,3860,R,9944,,,R,5742,R,1374,R,7116,R,5742,R,1374,R,7116,R,5742,R,1930,R,7672,R,6084,R,3860,R,9944,,,R,17622,R,1374,R,18996,R,17622,R,1374,R,18996,R,17622,R,1930,R,19552,R,18684,R,3860,R,22544,,,R,1032,R,1032,R,1032,R,1029,R,11942,R,11942,R,13976,R,14536,R,7218,R,6989,R,7382,R,5492,R,14956,R,14956,R,13852,R,18594,R,8618,R,8389,R,8761,R,7629,A,,A,,A,,R,10411,R,8664,R,7807,R,8404,R,7339,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111391,2,A,,-2,2,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,62400,R,150,R,62400,R,150,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111434,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,1,2,0,0,0,0,2,2,,-2,A,,A,,A,,R,1288,R,44,R,46,R,44,R,1288,R,44,R,46,R,44,R,11340,R,44,R,359,R,44,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1288,R,86,R,1374,R,1288,R,44,R,1332,R,1288,R,44,R,1332,R,1288,R,44,R,1332,,,R,1288,R,74,R,1362,R,1288,R,44,R,1332,R,1288,R,44,R,1332,R,1288,R,44,R,1332,,,R,9940,R,86,R,10026,R,9508,R,44,R,9552,R,9464,R,44,R,9508,R,11340,R,44,R,11384,,,R,1971,R,1971,R,1971,R,1971,A,,A,,A,,A,,A,,A,,A,,A,,R,20858,R,20858,R,31288,R,31288,R,5274,R,5274,R,3996,R,5913,A,,A,,A,,R,16685,R,5500,R,4698,R,3564,R,5265,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111461,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,1,2,0,0,0,0,2,2,,-2,A,,A,,A,,R,1104,R,62,R,46,R,40,R,1104,R,62,R,46,R,40,R,10896,R,62,R,465,R,40,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1104,R,42,R,1146,R,1104,R,58,R,1162,R,1104,R,72,R,1176,R,1104,R,62,R,1166,,,R,1104,R,42,R,1146,R,1104,R,58,R,1162,R,1104,R,72,R,1176,R,1104,R,62,R,1166,,,R,8640,R,42,R,8682,R,9264,R,58,R,9322,R,11160,R,72,R,11232,R,10896,R,62,R,10958,,,R,1125,R,1152,R,938,R,1062,A,,A,,A,,A,,A,,A,,A,,A,,R,17523,R,17784,R,19431,R,22086,R,4761,R,3924,R,4428,R,4968,A,,A,,A,,R,11493,R,4275,R,3348,R,3609,R,4509,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111513,2,A,,2,-2,3,A,,A,,-2,A,,-2,A,,-2,2,2,0,0,0,0,2,2,,6,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12.0401,A,,A,,R,1000,1,R,7,R,29,R,900,R,26,R,18936,R,14168,R,14168,R,14625,R,2990,R,2990,R,2990,R,2969,A,,A,,A,,A,,A,,A,,A,,A,,R,11963,R,12325,R,12688,R,13130,R,819,R,943,R,1088,R,1305,A,,A,,A,,R,9258,R,2393,R,2719,R,2900,R,4713,12.0499,R,17525,R,3915,R,1200,1,R,9,12.0402,R,14625,R,2849,R,1000,1,R,7,12.0409,R,11825,R,2393,R,600,1,R,4,12.041,R,3349,R,1196,R,400,1,R,3,12.0413,R,4025,R,973,R,600,1,R,4
111638,2,A,,2,-2,3,A,,R,100,0,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,8,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,51.092,A,,A,,R,81,2,R,24,R,96,R,32,R,32,R,40893,R,41172,R,42556,R,43648,R,1191,R,2913,R,1375,R,865,A,,A,,A,,A,,A,,A,,A,,A,,R,46008,R,46008,R,51816,R,58896,R,12696,R,12696,R,11808,R,18480,A,,A,,A,,R,30648,R,11400,R,11400,R,9624,R,18480,51.091,R,47355,R,1405,R,81,2,R,22,51.0806,R,51198,R,1485,R,74,2,R,20,51.0907,R,47395,R,1565,R,107,2,R,23,51.0701,R,18850,A,,R,120,2,R,19,51.3801,R,48360,R,615,R,68,2,R,18
111708,2,A,,2,-2,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,4,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,48.0508,A,,A,,R,900,1,R,8,R,30,R,900,R,26,R,14500,R,15500,R,15500,R,15500,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,R,14378,R,14820,R,16193,R,12353,R,3968,R,4050,R,5160,R,4335,A,,A,,A,,R,5910,R,3563,R,3645,R,4350,R,4335,46.0415,R,15249,A,,R,900,1,R,8,51.0801,R,15249,A,,R,900,1,R,8,46.0302,R,16375,A,,R,900,1,R,8,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
111717,2,A,,2,-2,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,11,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,46.0302,A,,A,,R,900,1,R,8,R,30,R,900,R,26,R,15375,R,16375,R,16375,R,16375,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,R,14378,R,14820,R,16193,R,12353,R,3968,R,4050,R,5160,R,4335,A,,A,,A,,R,5910,R,3563,R,3645,R,4350,R,4335,47.0604,R,14221,A,,R,810,1,R,7,11.1006,R,11476,A,,R,630,1,R,6,47.0201,R,15500,A,,R,900,1,R,8,51.0801,R,15249,A,,R,900,1,R,8,47.0103,R,15249,A,,R,900,1,R,8
